job_title,company_name,experience,salary,location,job_description,role,industry_type,department,employment_type,role_category,education,key_skills,date_posted,num_openings,num_applicants,experience_bins
Data Analyst,Improx Data And Cloud Consulting,0 - 2 years,Not Disclosed,Pune,"This is a critical role in executing ImproXdcc mission by managing data-driven activities related to data profiling, data discovery and analysis, requirements definition, testing and continuous improvement of data collection, mapping, analysis and transformation processes.
To succeed in this role, you should enjoy multi-tasking, thrive under pressure, be an out-of-the box thinker and great problem solver. In this role you will collaborate and communicate extensively with numerous business and technical teams.
The Experience You Need (Required)
0-2 years of experience in information technology
Bachelors Degree required or equivalent experience
Expert level SQL querying skills required
Solid track record in establishing strong relationships with internal stakeholders, clients and additional IT or QA resources as is necessary to bring projects to fruition
Patience and persistence to sift through complex data/information to get to the core knowledge
Experience with clinical coding systems: ICD9/10 diagnosis codes, ICD9/10 procedure codes, CPT codes, revenue codes, provider NPI codes, NDC Rx codes.
Experience in analyzing, defining and documenting business processes and rules
Experience testing data and assisting in the generation of related test cases
Intense intellectual curiosity and an ability to view problems with a fresh perspective
Excellent written and oral communication skills",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Operations Analyst', 'Data management', 'Coding', 'Data collection', 'Test cases', 'Continuous improvement', 'Information technology', 'SQL', 'data profiling', 'Testing']",30+ days ago,1.0,2562,0-2
Data Analyst,Recruitrix Technologies Llp,0 - 2 years,Not Disclosed,Hyderabad/Secunderabad,"1. Collecting the required data from various sources
2. Reviewing the data for correction and accuracy
3. Understanding the sources to collect the data - 1st point
4. Interpreting the data as required using MS Excel
5. Preparing the reports with charts and Graphics
6. Providing inputs for the betterment of given activity
Requirements:
1. Any graduate ( preferable with Statistics), other than BE/ B-Tech
2. 0-2 years of experience in data management ( Male/ Female)
3. Excellent skills working on MS- Excel
4. Immediate joiners are considered",Data Analyst,Management Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"Any Graduate, B.Tech/B.E. in Production/Industrial","['Graphics', 'Excel', 'Data management', 'Data Analyst', 'Statistics']",30+ days ago,1.0,1772,0-2
Data Analyst,St. John’s Research Institute,0 - 4 years,Not Disclosed,Bangalore/Bengaluru,"Qualification : Ph.D.
Experience : Fresher. Preference for candidates with knowledge in R and Python Coding programme
Brief Description about the Project:
To define the role of quality protein in infant growth
To evaluate vitamin B12 absorption and deficiency, in relation to genetic varians
To evaluate the role of quality foods in time trend and geospatial analyses on child undernutrition and the relation of air pollution and child health
Core Responsibilities:
Co-ordinating with the sequencing facilities for the genomic analyses as well as conducting the bioinformatics of omics data generated
Key Skills:
Basic knowledge of genomic analysis
Specific Activities
Genomic analyses as well as conducting the bioinformatics of omics data generated.",Statistician,Education / Training,Data Science & Analytics,"Full Time, Permanent",Data Science & Machine Learning,Any Graduate,"['Nutrition', 'Coding', 'CRC', 'Data Analyst', 'Research', 'Bioinformatics', 'Python']",30+ days ago,1.0,9104,0-2
Data Analyst,Augie,0 - 3 years,Not Disclosed,Bangalore/Bengaluru,"Duties and Responsibilities
Responsible for maintaining the data records with no compromise on the quality which will directly or indirectly affect the organization
Trouble shooting issues with respect to the information, reports and data retrieved from the database.
Responsible for preparing reports and present it with appropriate graphs, charts on a weekly monthly basis.
Capable of performing market analysis, profitability and maintaining metrics with standard format
Responsible for co-ordinating data with other teams with proper understanding of the data requirement presentations
Capable of converting the data available in the raw format to the structured format which can be used without performing any additional reworks.
Responsible for collecting data from various sources and organize the same in the proper format that can be understood easily.",Data Analyst,NGO / Social Services / Industry Associations,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Market analysis', 'Usage', 'Excel', 'Data collection', 'Database', 'Data Analyst', 'data visualization', 'Troubleshooting', 'Powerpoint']",30+ days ago,1.0,2910,0-2
Data Analyst,Bsharp,0 - 1 years,Not Disclosed,Hyderabad/Secunderabad,"Support in user management, usage of application by customers.
Optimised reports generation
User management and Application upkeep
Call out for specific actions when required
Profile:
Has a love for numbers and has a keen eye for detail
Is able to automate custom reports generation, based on custom inputs
Illustrating reports through dashboards
Is able to use tools and applications for a simplifying
Prerequisites:
Written & spoken proficiency: English
Work hours: Indian Business Hours
So, what kind of person are we looking for
0 to 6 months of work experience
Non-Engineering Bachelors degree
Someone who can juggle multiple projects in a dynamic work environment",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Sales', 'SAAS', 'analyst executive', 'Manager Technology', 'Author', 'Data Analyst', 'HR', 'User management']",30+ days ago,1.0,1728,0-2
Jr . Data Analyst,Armorblox,0 - 2 years,Not Disclosed,Bangalore/Bengaluru,"  You will be working closely with a Data Science Machine learning development team. Also, you will observe Machine Learning model building evaluation data pipelines being built, and have the opportunity to contribute towards it.
  Must haves
Bachelor s degree in a technical field or related experience
Around a year of experience with automating systems and managing infrastructure as code
Attention to detail is critical to this role. You will have to spot the smallest difference between what s malicious and what s not.
Self-starter and tireless work ethic. Attackers are relentless and to protect our customers from fraud, we have to be the same way.
Rapid response. You will be in on incident response rotations that require rapid response to new attack types.
Strong critical thinking skills. If you can solve puzzles you will be good at identifying missing pieces.
Nice to haves
Machine learning devops
Threat research
NLP annotation
Visualization dashboards
Scripting database programming
Expectation
Should be open to work very closely with US team, coinciding with US timings.
Should be flexible with the work timings.
Expected to work/support during Saturdays Sundays, and take days off during the week.",System Analyst,IT Services & Consulting,IT & Information Security,"Full Time, Permanent",IT Infrastructure Services,"Any Graduate, B.Tech/B.E. in Production/Industrial","['Data Science', 'Evaluation', 'Nlp', 'Algorithms', 'Cloud', 'Data Analyst', 'Machine Learning']",30+ days ago,1.0,2342,0-2
Data Analyst Advanced Analytics,Perceptive Analytics,0 - 3 years,Not Disclosed,Hyderabad/Secunderabad,"Responsibilities:
Understanding and synthesize the client requirements and information
Decide approach while thinking through possible deadlocks in advance
Get actionable insights from data with analytical tools like Project R, SQL, R, Python etc. which can be used in real time in all decision making
Create new statistical models/ improve existing models
Qualifications:
Proficiency in SQL, R, Python, Advance Excel and VBA or other analysis/ programming language. (Intermediate level)
Expertise and strong experience in data gathering and analysis
Good analytical and communication skills
Candidates with strong business knowledge
Hands on expertise in Data modelling, Data migration Data consolidation tools through working on online analytical projects / internships / Job.",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['advanced analytics', 'Talent acquisition', 'Analytical', 'Artificial Intelligence', 'Machine learning', 'Data Analyst', 'Data analytics', 'Internship', 'CRM', 'SQL']",30+ days ago,1.0,3599,0-2
Data analyst,Machintel Corporation,0 - 2 years,Not Disclosed,Pune,"Data Analyst with expertise in primary and secondary research. Skilled in Data Analysis, Contact Discovery, Data Cleansing and Microsoft Excel.

Skills :
Data Collection
Data Mining
Data Validation
Email Research
Email Validation
Primary Research
Secondary Research
Web Research
Company Profiling

Responsibilities :
Contact Discovery through various networking sites like LinkedIn, zoom info to retrieve contact information of prospects and companies.
To carry web search on different search engines to gather relevant business information about organizations/key contacts as per client requirements
Search company details like address, industry, phone number.
Data acquisition and extraction, data management, data analysis.
Verifying Job Title and Email-id through Pass Verification.

Qualification :
Graduate",Data Analyst,Advertising & Marketing,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['data cleansing', 'Data analysis', 'Data validation', 'Excel', 'Networking', 'Data management', 'Primary research', 'Data collection', 'Data mining', 'Secondary research']",30+ days ago,1.0,9528,0-2
Senior Data Analyst - PV Sector,MANFRA hiring for Leading Solar EPC Group,8 - 12 years,Not Disclosed,Mumbai,"Modeling & assessment
Run macro-based models
Source data pertaining to renewable sector internally and externally
Design RE Solutions

Required Candidate profile
Mandatory data analysis experience in renewable energy sector
Expertise in job-related softwares",Data Analyst,Power,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,B.Tech/B.E. in Electrical,"['Solar', 'Data Analytics']",7 days ago,,33,5-12
Sr Data Management Analyst - Limited Duration role,Moody's Corporation,5 - 8 years,Not Disclosed,Gurgaon/Gurugram,"Roles and Responsibilities
Periodic execution of DI queries and Status updates
Run Data Scrubs
Build simple DI queries
Backup for the OPS team (Account/Contact other updates)
Follow ups with L2/downstream teams on Data fixes etc.
Adding new records (accounts/contacts/leads/tasks) and verifying them
Enrichment of existing records, remove duplicates
Manage cases and responding the user on time
Create and manage weekly/monthly reports & dashboards in Excel/SFDC
Preparing knowledgebase articles related to Salesforce products
Coordinating with DEV team for issues with Salesforce application
Must be able to work independently and within a te


Desired Candidate Profile
Overall experience of 5+ Years
Working experience of approx. 2 years in Salesforce and data management/quality
Knowledge of MS Access, JIRA, Salesforce SQL and SQL Server
Proficient in understanding and creating Complex SQL queries
Aware of Data Warehousing concepts, Data modelling, Governance and General Data Integrity Rules
Proficient in MS office (Word, Excel, PPT) and other data analysis tools
Excellent communication skills
Strong problem-solving/analytical skills
Open for rotational shifts, Supporting US customer
Perks and Benefits",Business Intelligence & Analytics - Other,Financial Services,Data Science & Analytics,"Full Time, Temporary/Contractual",Business Intelligence & Analytics,"B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization","['SQL Queries', 'SQL Server', 'Data Integrity', 'Data Warehousing Concepts', 'Salesforce']",11 days ago,,288,5-12
Senior Data Analyst,Boston Consulting Group,2 - 5 years,Not Disclosed,Bangalore/Bengaluru,"We are seeking exceptional candidates with experience and passion to fill a Sr Analyst position in BCG GAMMA RUN team. This global business unit is an integral part of BCG s strategy to develop new digital client service offerings in order to deliver superior value and sustained impact.
The unit has responsibilities for full-life cycle of BCG proprietary data and software assets, from initial business case to roadmap delivery, launch, and ongoing support operations.
All of BCG s core product capabilities are housed within the business unit including product management, design, development, support and data analytics experts who work in deep collaboration with BCG practice areas, consulting teams and clients. This team, of highly motivated and insightful colleagues, will provide an opportunity to work in an entrepreneurial environment supported by a global management consulting firm, which is the world s leading advisor on business strategy.
You will join an expanding team which support multi-million-dollar BCG products and projects at our client organizations. You will join the Gamma RUN team to manage the maintenance of the products/projects for our clients.


YOU'RE GOOD AT

Working with case (and project) teams
Acquiring deep expertise in at least one analytics topic & basic understanding of majority of analytics capabilities
Delivering original analysis and insights to case teams, typically owning all or part of an analytics module whilst integrating with a case team
Creating/Maintaining data pipeline, dashboards, data modelling, transformation, and validation with high quality output. Supporting and enhancing original analysis and insights to case teams, typically owning the maintenance of all or part of an analytics module post implementation.
Establishing credibility by thought partnering with case teams on analytics topics; drawing conclusions on a range of external and internal issues related to your product/project.
Communicating analytical insights through sophisticated synthesis and packaging of results (including PPT slides and charts) with consultants; collecting, synthesizing, analysing case team learning & inputs into new best practices and methodologies
Has expertise in executing visualization (Ideally Tableau and PowerBI) projects end-end i.e. Frontend and backend.
Team requirements:
Contributes to team s content & IP development
Support products/projects as per the work schedule and business requirements
Mentoring - Train other team members on the project/technical skill and assist in capability building
People Mgmt. - Able to lead a geographically dispersed team of Analysts/Junior Analysts to deliver the projects and manage their deliverables as per available capacity

Functional Skills:
Able to lead and manage delivery of multiple projects/products in parallel and deliver high impact across each of them.
Has a client centric mindset. Able to take ownership of situations to ensure swift closure.
You should be strong in analytical solutioning with hands on experience in advanced analytics delivery, through the entire life cycle of analytics. Strong analytics skills with the ability to develop and codify knowledge and provide analytical advice where required
Excellent business communication skills in English. Is a clear and confident communicator, able to deliver messages in a concise manner with strong and effective written and verbal communication.
Conversational and written abilities for foreign languages like German, Italian, French, Spanish etc. would be considered as plus.
Excellent problem-solving skills; is able to break the problem to derive to a logical solution
Self-motivated and can operate autonomously in a structured manner as an individual contributor as well as leading a smaller team
Team player; can create and maintain harmony with the team members; resolving conflicts as well.
Communicating with confidence and ease. Should not shy away from taking tough decisions, push back and rolling up the sleaves when required.
Good to have:
Knowledge of Implementing ETL process(s) across on-premises and cloud-based architectures
Knowledge of integration of data from multiple data sources and working with large and complex datasets
Understanding of application infrastructure; networks, IIS, servers would be considered as plus


YOU BRING (EXPERIENCE & QUALIFICATIONS)

Bachelor's / Master's degree in computer science engineering/technology
5 years of relevant work experience within Data Management / Architecture / Engineering / Visualization across industries and providing analytics solutions in a commercial setting for clients
Strong experience in SQL - SQL Server, Snowflake; ability to create and troubleshoot stored procedures and complex queries
Strong experience in troubleshooting data and infrastructure issues
Strong experience in creating, publishing and maintenance of dashboards in Tableau and PowerBI
Experience working on developing and maintaining Alteryx workflows
Intermediate (or above) level expertise in Python and related frameworks
Experience working on data analysis projects. Machine learning would be a plus.
Experience working with cloud platforms for Amazon Web Services (AWS), Microsoft Azure And/OR Google Cloud, Docker and Kubernetes
Strong communication skills and ability to work with case team/clients
Experience in consulting industry will be considered as a plus


YOU'LL WORK WITH

You will work with the product leadership, solution delivery and case team and/or client technical teams and will be part of broader Gamma family.",Data Analyst,Management Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Data analysis', 'Data management', 'Consulting', 'Packaging', 'German', 'Spanish', 'Business strategy', 'Analytics', 'SQL', 'Python']",30+ days ago,1.0,252,2-5
"Senior Analyst, Data Management & Quantitative Analysis",BNY Mellon,2 - 3 years,Not Disclosed,Pune,"Roles and Responsibilities
Data Management and Quantitative Analysis - IC2Under direct guidance, works with internal and external datasets and client reference data and provides analysis in the development of statistical, financial and/or econometric models for analyzing asset performance, securities data, derivative pricing, risk exposure or other sophisticated concepts.
Provides analytical support and prepares drafts of standard and ad hoc reports for assigned area.
With general guidance, supports assigned areas with basic statistical and quantitative analyses. Sometimes performs more advanced analyses.
Performs or oversees data management activities in support of more senior quantitative colleagues.
Runs models, looks for exceptions, takes corrective action.
Has some knowledge of technology tools used to conduct analyses conduct analyses. Applies techniques such as SQL, querying and macro development to extract data for populating models.
Has some knowledge of processes and products and which analyses, methodologies and approaches best support assessment of performance, risk, or valuation.
Interprets findings and prepares initial drafts of standard reports.
Assists more senior team members with the preparation of ad-hoc reports at the request of managers and/or other leaders.
Is beginning to review reporting and calculations performed by less experienced colleagues.
No direct reports. Primarily responsible for the accuracy and quality of own work. Work contributes to the achievement of team goals


Desired Candidate Profile
Bachelors degree or the equivalent combination of education and experience.
Advanced degree in quantitative analysis preferred.
2-3 years experience preferred. Experience in quantitative finance and technology preferred..",Other,Banking,Other,"Full Time, Permanent",Other,Any Graduate,"['financial models', 'Structured Finance', 'sql', 'VBA', 'Bonds', 'quantitative analysis']",14 days ago,,660,2-5
Data Analyst - Python / Power BI,Huquo Consulting Pvt. Ltd,5 - 10 years,Not Disclosed,Kolkata,"Role :

- The Data Engineering team is looking for a Data Analyst professional with substantial

- RequirementBusiness Analysis background on data projects. This role involves innovation of data lifecycle processes with applicable technologies, through requirements gathering, analysis, and design of analytics projects involving data modelling, transformation, and visualization.

- The individual must be able to translate business requirements into technical data specifications, manipulating larges datasets and supporting various data initiatives where data is capitalized as an asset and involving cloud data platform that powers advanced analytics workloads..

- The Analyst will work with business stakeholders from Analytics, Marketing, Media teams to gather data, understand the business meaning of data, provide analysis and requirements so that data design is fully understood, and the development initiatives are in line with intended design and standards and the findings can be transformed to digestible insights.

Qualifications :

- University or college degree in Computer Science, Mathematics, Engineering, Statistics, or related field of study.

- Min 5+ years of relevant experience in understanding applications from end-to-end perspective and drafting the requirement for business and functional specification documents for data driven projects

- Background in Analytics, Data driven solutions

- Experience in preparing Business Requirement Document (BRD) and Functional Specification Document (FSD), Technical Specifications for data solutions and working with development teams to resolve data
related issues.

- Exposure to DQM (data quality management), test strategy and test planning to resolve data quality and data missing issues.

- Experienced in writing Advanced SQL queries, indexes, constraints, and Stored Procedures.

- Knowledge of Python for manipulating data using Pandas, NumPy or Pyspark.

- Good to have - experience with QlikView or Tableau or Power BI.

- Understanding of AWS platform and tools associated with analytics and data (S3, Redshift, Glue).

- Strong understanding of SDLC and agile methodologies such as Scrum and Kanban.

- Resourceful and relentless - independently capable of seeking information, corralling resources, and delivering results in challenging situations.

- Collaboration and Teamwork - works with others to deliver results, meaningfully contributing to the team and prioritizing group needs over individual needs.

- Problem Solving - uses an organized and logical approach to find solutions to complex problems. Looks beyond the obvious to understand the root cause of problems. A great teammate and self-starter, strong detail orientation is critical in this role.

- Open Communication: clearly conveys thoughts, both written and verbally, listening attentively and asking questions for clarification and understanding.

- Strong business acumen with understanding of business operation flows

Key responsibilities :

- Business requirement, data mapping and business understanding

- Responsible for end-to-end data analysis to understand and define how data is collected, transformed, and published to users to support their business objectives.

- Elicit, analyze, interpret business and data requirements to develop complete data product solutions, includes review data models (entity relationship diagrams, dimensional data models), ETL and business rules, data life cycle management, governance, lineage, metadata and reporting elements.

- Identify research questions, problem solve using data analysis, and communicate the results to various stakeholders.

Data management processes and data architecture :

- Collaborate with the business, its applications, solutions, and technical architects

- Manipulate large data sets using SQL to understand patterns in the data. Perform data profiling using various tools to understand the shape of the data to help inform data quality checks andor curation rules that need to be developed.

- Support the engineering and operations team in interpreting the data and remediating issues when required.

- Work with database management teams architects and data analysts to help establish standards and strategies

- Engage with data owners, stewards to implement, maintain, enhance data governance, quality, security and privacy requirements, and related policies and standards.

SDLC

- Involve in all life cycle of data using agile development methodology

- Prepare technical specifications for data ingestion and transformation rules. Partner with data architects to build data models for efficient consumption of data.

- Support the development of standards and best practices within the Data Analysis team, this includes documentation templates and agile development best practices.

- Actively participate in all agile ceremonies including daily stand-ups, backlog grooming, sprint planning and retros",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"B.Tech/B.E. in Computers, B.Sc in Maths, Computers, Statistics, BCA in Computers, B.A in Statistics, Maths","['Data Analysis', 'Business Requirement Document', 'Data Engineering', 'Power BI', 'data quality management', 'Tableau', 'SDLC', 'SQL', 'data quality', 'Kanban', 'test strategy', 'test planning', 'agile methodologies', 'Scrum', 'QlikView', 'AWS', 'Python']",11 days ago,,595,5-12
Data Analyst (freelance),2coms,2 - 7 years,"₹ 4,75,000 - 9,75,000 P.A.",Delhi,"This is a remote position.
We are looking for a Freelance Data Analyst who will support product, sales, marketing teams with insights gained from analyzing company data.
3 to 6 years of experience in role as a BA / technical BA

Experience in front end applications & APIs related project

Strong experience working as a Business Analyst/Technical Business Analyst

An understanding of defining user journeys and stories

Excellent written and verbal communication skills, with the ability to interact with staff at all levels of organization.

Proven track record of managing activities that support a number of full project lifecycle implementations including of a complex nature.


Requirements
3 to 6 years of experience in role as a BA / technical BA

Experience in front end applications & APIs related project

Strong experience working as a Business Analyst/Technical Business Analyst

An understanding of defining user journeys and stories

Excellent written and verbal communication skills, with the ability to interact with staff at all levels of organization.

Proven track record of managing activities that support a number of full project lifecycle implementations including of a complex nature.",MIS Manager,IT Services & Consulting,Engineering - Software & QA,"Full Time, Permanent",DBA / Data warehousing,B.Tech/B.E. in Any Specialization,['Data Scientist'],1 day ago,,231,2-5
Data Analyst,HR Central,3 - 5 years,Not Disclosed,Pune,"Sales Analyst job responsibilities:
A sales analyst has to create the sales report for the management and have to use these reports for sales forecast. He needs to prepare these reports focusing on various conditions prevailing in the market.
He needs to conduct the market research on the prevailing trends, analyze and interpret the current sales strategies and provide recommendations.
A sales analyst need to follow its competitors from time to time to check with their market strategies and implement the necessary changes in its sales strategies.
His role is to analyze the sales performance in respect to sales objectives, achieve organizations strengths and identify the weaknesses to improve the sales.
His work also includes preparing the sales budget for the sales team and assisting the management to develop and evaluate the sales.
A sales Manager have to prepare various presentations keeping in mind the sale forecast, the sales trend and other factors to deliver it to the higher management so that necessary actions can be taken up to improve the sales pattern and to achieve higher sales ratio.
A sales analyst has to collect analyze and have to report the data to increase the sales productivity and profitability by analyzing different business operations.
He need to have a proper record of the sales trend to evaluate the set targets and achieved goals.
A sales analyst also has to be in contact with the customer and have to take the feedback from them so that the products and services can be improved.
He needs to interpret the result of overall sales by analyzing the performance records.
He also needs to coordinate with the Sales Manager for the setting the objectives of the organization.
A sales analyst needs to ensure the compliance of the corporate practices and the standards.
Monitor sales performance against key performance indicators and implement improvement strategies as required
Work closely with finance and other functional groups to ensure accurate forecasting of the sales pipeline within key strategic markets, measurement of sales cycle time, win/loss rates, and probabilities rates
Provides analytic support for annual sales goals
Experience with SAP, BW/COPA, Business Objects, Tableau, SFDCRoles and Responsibilities


Desired Candidate Profile


Perks and Benefits",Data Analyst,Emerging Technologies,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['sales analysis', 'Sales Review', 'Sales Forecasting', 'Data Management', 'Data Analysis', 'Data Analytics']",13 days ago,,191,2-5
"Data Analyst, Business Analyst",Clinilaunch Research Institute Llp,0 - 5 years,Not Disclosed,Bangalore/Bengaluru,"• Analyze data and translate it into actionable conclusions.
• Prioritise and manage multiple tasks simultaneously.
• Conduct excellent research, work independently, and pay attention to detail.",Data Analyst,Education / Training,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"Any Graduate, B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization, BCA in Any Specialization, B.B.A/ B.M.S in Any Specialization, B.Com in Any Specialization","['Data Analytics', 'excel', 'Business Analytics', 'Power Bi', 'Tableau', 'Business Analysis', 'SQL']",29 days ago,,12516,0-2
Analyst / Senior Analyst Data Science & Strategy,AMERICAN EXPRESS,0 - 6 years,Not Disclosed,Gurgaon/Gurugram,"Decision Science, Strategy and Insights:
Analyze large amounts of data to derive business insights and create innovative solutions
Leverage the power of closed loop through Amex network to make decisions more intelligent and relevant
Innovate with a focus on developing newer and better approaches using big data machine learning solution
AI Research:
Ideate and contribute to innovations to help solve business problems
Read, understand papers in AI and ML and use the concepts to come up with novel ideas
Perform POC on Ideas and concepts to test feasibility
Contribute to product strategy and roadmap; recommend the nature and scope of present and future state of the AI Platforms.
Contribute to patents and publication of research
Critical Factors to Success:
Business Outcomes:
Drive billing, revenue growth and profitability through advanced analytical techniques
Maximize business returns by institutionalizing efficient and accurate models.
Innovate Modeling Techniques and Variable creation
Ensure Modeling Accuracy and enhance modeling efficiency in existing processes using Machine Learning
Leadership Outcomes:
Put enterprise thinking first, connect the roles agenda to enterprise priorities and balance the needs of customers, partners, colleagues shareholders.
Lead with an external perspective, challenge status quo and bring continuous innovation to our existing offerings
Demonstrate learning agility, make decisions quickly and with the highest level of integrity
Lead with a digital mindset and deliver the worlds best customer experiences every day
Academic Background:
MBA, Masters Degree In Economics, Statistics, Computer Science Or related fields
For AI Researcher - Bachelors/Masters/PhD in a quantitative field like Computer Science, Operations Research, Statistics etc.
Past Experience:
0-6 yearsexperience in analytics, big data workstreams

Functional Skills/Capabilities:
Ability to drive project deliverables to achieve business results
Ability to work effectively in a team environment
Strong communication and interpersonal skills
Ability to learn quickly and work independently
Good Programming skills are a must
Excellent problem formulation and solving skills
Technical Skills/Capabilities:
1. Analytics Insights Targeting
SAS, R, Python, Hive, Spark, SQL
Advanced Statistical Techniques
Hands on programming and ability to design
2. Data Science/Machine Learning/Artificial Intelligence
Expertise in Coding, Algorithm, High Performance Computing
Unsupervised and supervised techniques -: active learning, transfer learning, neural models, Decision trees, reinforcement learning, graphical models, Gaussian processes, Bayesian models, Map Reduce techniques, attribute engineering",Data Analyst,Financial Services,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Interpersonal skills', 'Operations research', 'Analytical', 'Formulation', 'Billing', 'Machine learning', 'Risk management', 'Analytics', 'Financial services', 'SQL']",18 days ago,1.0,4370,0-2
Business & Data Analyst- Assistant Manager,SmartAdvisor Match,1 - 3 years,Not Disclosed,Hyderabad/Secunderabad,"Role Summary
A Business Process and Data Analyst with atleast 8 + years of Information Technology experience with atleast 3+ years of working Data Analysis and/or Business Analysis experience.
Working as part of a multidisciplinary team to contribute with design and implementation decisions and define best practice in terms of data management encompassing data ingestion and enrichment.
ITIL Experience with basic hands on will be preferred, as the data domain is ITSM Service Transition and Operations.
You will turn data into insightful reports and dashboards, using variety of skills, technical languages and BI tools (Tableau, PowerBI or alike) and enable leadership for informed decision making
You will interpret and manage data to enable effective story telling
Strong ability in working with SQL and Excel
You will build relationships with the internal teams for effective prioritization of requirements
Perform analysis on thematic issues and support data driven continuous improvement
Collaborate with teams to design innovative paths to enhance best practices and procedurces.
Responsibility will be closely aligned with Business Analysis with competency to interview various groups and ability to recreate the business flows
Ability to discuss in business and technological terms and flows
Capable of articulating and documenting complex designs concepts as knowledge articles to be used by the team globally
Demonstrated ability to think both tactically and strategically and work under pressure in a dynamic work environment
Excellent communication (oral and written) and outstanding presentation skills
Must be confident and able to host and manage meetings and seminars with large audiance
Commits to career and skills advancement and knowledge growth
Core/Must have skills
Business/ Process Analysis
Data Analysis
Excellent written and oral communication
Tableau, PowerBI or any other similar Data Analysis tools
Strong ability in working with SQL and Excel
Proven analytical and problem solving skills
Work efficient with MS Office suite, MS Visio and MS Project or similar tools
ITIL Foundation Certification
Good understanding of Enterprise IT Technologies
Excellent Presentation skills
Good to have skills
Understanding of the Banking Domain
Experience with Python, Shell, Javascript or similar scripting languages
ITIL Certification with Service Operations specialization
Production Support / Application Support / SRE Experience
Data modelling
Work Schedule
Hybrid Work Schedule
Keywords (If any)
Business Analysis, Data Analysis, SQL, Data Modelling, ITIL, Tableau, PowerBI, Python Data Science
 ",Business Analyst,Banking,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Data analysis', 'Application support', 'Data management', 'Business analysis', 'Analytical', 'Javascript', 'Information technology', 'Financial services', 'SQL', 'Service operations']",30+ days ago,1.0,3338,0-2
Data Analyst - Predictive Modeling / Machine Learning,Yo HR Consultancy,2 - 5 years,Not Disclosed,Hyderabad/Secunderabad,"Responsibility :

- Identify valuable data sources and automate collection processes.

- Undertake pre-processing of structured and unstructured data.

- Analyze large amounts of information to discover trends and patterns.

- Build predictive models and machine-learning algorithms (Example K-Means, KNN etc.)

- Present information using data visualization techniques.

- Propose solutions and strategies to business challenges.

- Corroborate & value-add qualitative studies using internal data analysis and support the development of reports by providing requisite content.

- Pull data from various servers as per business requirement.

- Participate in presentation of reports to key internal stakeholders, effectively communicating the steps taken to create the output.

- Manage multiple projects concurrently.

- QAQC data and report output to ensure accuracy & effectively communicating the steps taken to create the output.

Requirement :

- Proven experience as a data Scientist or data analyst.

- Experience in data mining, cleaning, and analysis.

- Knowledge of SQL and Python (proficiency in Pandas (must), NumPy(must), Sea born(optional), scikit-learn(must), CNN (added advantage), TensorFlow (added advantage & SciPy (added advantage) packages in python).

- Experience using business intelligence tools (Power BI).

- Analytical mind and business acumen.

- Experience in retail or pharma-retail domain will be an added advantage.",Data Analyst,IT Services & Consulting,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,"B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Any Specialization","['Data analysis', 'Predictive Modeling', 'Power BI', 'data visualization', 'Machine Learning', 'NumPy', 'SQL', 'Python']",5 days ago,,778,2-5
DATA ANALYST,Serving Skill,4 - 8 years,Not Disclosed,Mumbai,"1) Recording and analyzing of claims data and preparation of appropriate reports on trends

2) Share daily/weekly/monthly reports with the management on claims handling

3) Dealing with Regional Team and sharing them report showing trends and suggestions on claim handling

4) Monthly report submissions to Finance and Reports for Regulatory compliance

5) Audit and process compliance pertaining to claims

6) Adherence to internal processes and external regulations

7) Co-ordination with various departments viz IT, Operations, Finance, Claims for claims reserving, final payouts and policy requirements

8) Training to the team for development of analytical and report reading skills.

9) Ensure proper registration and handling of claims in the claims system.

10) System developments and improvements.

Criteria - Should be working in SAS
Good knowledge in Advance Excel.",Data Analyst,Insurance,Data Science & Analytics,"Full Time, Permanent",Business Intelligence & Analytics,Any Graduate,"['Data Analysis', 'Excel', 'SAS', 'Finance']",5 days ago,,101,2-5
